keys,en,de,ja
POKEMON304,Aron,,
POKEMON305,Lairon,,
POKEMON306,Aggron,,
POKEMON307,Meditite,,
POKEMON308,Medicham,,
POKEMON309,Electrike,,
POKEMON310,Manectric,,
POKEMON311,Plusle,,
POKEMON312,Minun,,
POKEMON313,Volbeat,,
POKEMON314,Illumise,,
POKEMON315,Roselia,,
POKEMON316,Gulpin,,
POKEMON317,Swalot,,
POKEMON318,Carvanha,,
POKEMON319,Sharpedo,,
POKEMON320,Wailmer,,
POKEMON321,Wailord,,
POKEMON322,Numel,,
POKEMON323,Camerupt,,
POKEMON324,Torkoal,,
POKEMON325,Spoink,,
POKEMON326,Grumpig,,
POKEMON327,Spinda,,
POKEMON328,Trapinch,,
POKEMON329,Vibrava,,
POKEMON330,Flygon,,
POKEMON331,Cacnea,,
POKEMON332,Cacturne,,
POKEMON333,Swablu,,
POKEMON334,Altaria,,
POKEMON335,Zangoose,,
POKEMON336,Seviper,,
POKEMON337,Lunatone,,
POKEMON338,Solrock,,
POKEMON339,Barboach,,
POKEMON340,Whiscash,,
POKEMON341,Corphish,,
POKEMON342,Crawdaunt,,
POKEMON343,Baltoy,,
POKEMON344,Claydol,,
POKEMON345,Lileep,,
POKEMON346,Cradily,,
POKEMON347,Anorith,,
POKEMON348,Armaldo,,
POKEMON349,Feebas,,
POKEMON350,Milotic,,
POKEMON351,Castform,,
POKEMON352,Kecleon,,
POKEMON353,Shuppet,,
POKEMON354,Banette,,
POKEMON355,Duskull,,
POKEMON356,Dusclops,,
POKEMON357,Tropius,,
POKEMON358,Chimecho,,
POKEMON359,Absol,,
POKEMON360,Wynaut,,
POKEMON361,Snorunt,,
POKEMON362,Glalie,,
POKEMON363,Spheal,,
POKEMON364,Sealeo,,
POKEMON365,Walrein,,
POKEMON366,Clamperl,,
POKEMON367,Huntail,,
POKEMON368,Gorebyss,,
POKEMON369,Relicanth,,
POKEMON370,Luvdisc,,
POKEMON371,Bagon,,
POKEMON372,Shelgon,,
POKEMON373,Salamence,,
POKEMON374,Beldum,,
POKEMON375,Metang,,
POKEMON376,Metagross,,
POKEMON377,Regirock,,
POKEMON378,Regice,,
POKEMON379,Registeel,,
POKEMON380,Latias,,
POKEMON381,Latios,,
POKEMON382,Kyogre,,
POKEMON383,Groudon,,
POKEMON384,Rayquaza,,
POKEMON385,Jirachi,,
POKEMON386,Deoxys,,
POKEMON387,Turtwig,,
POKEMON388,Grotle,,
POKEMON389,Torterra,,
POKEMON390,Chimchar,,
POKEMON391,Monferno,,
POKEMON392,Infernape,,
POKEMON393,Piplup,,
POKEMON394,Prinplup,,
POKEMON395,Empoleon,,
POKEMON396,Starly,,
POKEMON397,Staravia,,
POKEMON398,Staraptor,,
POKEMON399,Bidoof,,
POKEMON400,Bibarel,,
POKEMON401,Kricketot,,
POKEMON402,Kricketune,,
POKEMON403,Shinx,,
POKEMON404,Luxio,,
POKEMON405,Luxray,,
POKEMON406,Budew,,
POKEMON407,Roserade,,
POKEMON408,Cranidos,,
POKEMON409,Rampardos,,
POKEMON410,Shieldon,,
POKEMON411,Bastiodon,,
POKEMON412,Burmy,,
POKEMON413,Wormadam,,
POKEMON414,Mothim,,
POKEMON415,Combee,,
POKEMON416,Vespiquen,,
POKEMON417,Pachirisu,,
POKEMON418,Buizel,,
POKEMON419,Floatzel,,
POKEMON420,Cherubi,,
POKEMON421,Cherrim,,
POKEMON422,Shellos,,
POKEMON423,Gastrodon,,
POKEMON424,Ambipom,,
POKEMON425,Drifloon,,
POKEMON426,Drifblim,,
POKEMON427,Buneary,,
POKEMON428,Lopunny,,
POKEMON429,Mismagius,,
POKEMON430,Honchkrow,,
POKEMON431,Glameow,,
POKEMON432,Purugly,,
POKEMON433,Chingling,,
POKEMON434,Stunky,,
POKEMON435,Skuntank,,
POKEMON436,Bronzor,,
POKEMON437,Bronzong,,
POKEMON438,Bonsly,,
POKEMON439,Mime Jr.,Manene,
POKEMON440,Happiny,,
POKEMON441,Chatot,,
POKEMON442,Spiritomb,,
POKEMON443,Gible,,
POKEMON444,Gabite,,
POKEMON445,Garchomp,,
POKEMON446,Munchlax,,
POKEMON447,Riolu,,
POKEMON448,Lucario,,
POKEMON449,Hippopotas,,
POKEMON450,Hippowdon,,
POKEMON451,Skorupi,,
POKEMON452,Drapion,,
POKEMON453,Croagunk,,
POKEMON454,Toxicroak,,
POKEMON455,Carnivine,,
POKEMON456,Finneon,,
POKEMON457,Lumineon,,
POKEMON458,Mantyke,,
POKEMON459,Snover,,
POKEMON460,Abomasnow,,
POKEMON461,Weavile,,
POKEMON462,Magnezone,,
POKEMON463,Lickilicky,,
POKEMON464,Rhyperior,,
POKEMON465,Tangrowth,,
POKEMON466,Electivire,,
POKEMON467,Magmortar,,
POKEMON468,Togekiss,,
POKEMON469,Yanmega,,
POKEMON470,Leafeon,,
POKEMON471,Glaceon,,
POKEMON472,Gliscor,,
POKEMON473,Mamoswine,,
POKEMON474,Porygon-Z,,
POKEMON475,Gallade,,
POKEMON476,Probopass,,
POKEMON477,Dusknoir,,
POKEMON478,Froslass,,
POKEMON479,Rotom,,
POKEMON480,Uxie,,
POKEMON481,Mesprit,,
POKEMON482,Azelf,,
POKEMON483,Dialga,,
POKEMON484,Palkia,,
POKEMON485,Heatran,,
POKEMON486,Regigigas,,
POKEMON487,Giratina,,
POKEMON488,Cresselia,,
POKEMON489,Phione,,
POKEMON490,Manaphy,,
POKEMON491,Darkrai,,
POKEMON492,Shaymin,,
POKEMON493,Arceus,,
POKEMON494,Victini,,
POKEMON495,Snivy,,
POKEMON496,Servine,,
POKEMON497,Serperior,,
POKEMON498,Tepig,,
POKEMON499,Pignite,,
POKEMON500,Emboar,,
POKEMON501,Oshawott,,
POKEMON502,Dewott,,
POKEMON503,Samurott,,
POKEMON504,Patrat,,
POKEMON505,Watchog,,
POKEMON506,Lillipup,,
POKEMON507,Herdier,,
POKEMON508,Stoutland,,
POKEMON509,Purrloin,,
POKEMON510,Liepard,,
POKEMON511,Pansage,,
POKEMON512,Simisage,,
POKEMON513,Pansear,,
POKEMON514,Simisear,,
POKEMON515,Panpour,,
POKEMON516,Simipour,,
POKEMON517,Munna,,
POKEMON518,Musharna,,
POKEMON519,Pidove,,
POKEMON520,Tranquil,,
POKEMON521,Unfezant,,
POKEMON522,Blitzle,,
POKEMON523,Zebstrika,,
POKEMON524,Roggenrola,,
POKEMON525,Boldore,,
POKEMON526,Gigalith,,
POKEMON527,Woobat,,
POKEMON528,Swoobat,,
POKEMON529,Drilbur,,
POKEMON530,Excadrill,,
POKEMON531,Audino,,
POKEMON532,Timburr,,
POKEMON533,Gurdur,,
POKEMON534,Conkeldurr,,
POKEMON535,Tympole,,
POKEMON536,Palpitoad,,
POKEMON537,Seismitoad,,
POKEMON538,Throh,,
POKEMON539,Sawk,,
POKEMON540,Sewaddle,,
POKEMON541,Swadloon,,
POKEMON542,Leavanny,,
POKEMON543,Venipede,,
POKEMON544,Whirlipede,,
POKEMON545,Scolipede,,
POKEMON546,Cottonee,,
POKEMON547,Whimsicott,,
POKEMON548,Petilil,,
POKEMON549,Lilligant,,
POKEMON550,Basculin,,
POKEMON551,Sandile,,
POKEMON552,Krokorok,,
POKEMON553,Krookodile,,
POKEMON554,Darumaka,,
POKEMON555,Darmanitan,,
POKEMON556,Maractus,,
POKEMON557,Dwebble,,
POKEMON558,Crustle,,
POKEMON559,Scraggy,,
POKEMON560,Scrafty,,
POKEMON561,Sigilyph,,
POKEMON562,Yamask,,
POKEMON563,Cofagrigus,,
POKEMON564,Tirtouga,,
POKEMON565,Carracosta,,
POKEMON566,Archen,,
POKEMON567,Archeops,,
POKEMON568,Trubbish,,
POKEMON569,Garbodor,,
POKEMON570,Zorua,,
POKEMON571,Zoroark,,
POKEMON572,Minccino,,
POKEMON573,Cinccino,,
POKEMON574,Gothita,,
POKEMON575,Gothorita,,
POKEMON576,Gothitelle,,
POKEMON577,Solosis,,
POKEMON578,Duosion,,
POKEMON579,Reuniclus,,
POKEMON580,Ducklett,,
POKEMON581,Swanna,,
POKEMON582,Vanillite,,
POKEMON583,Vanillish,,
POKEMON584,Vanilluxe,,
POKEMON585,Deerling,,
POKEMON586,Sawsbuck,,
POKEMON587,Emolga,,
POKEMON588,Karrablast,,
POKEMON589,Escavalier,,
POKEMON590,Foongus,,
POKEMON591,Amoonguss,,
POKEMON592,Frillish,,
POKEMON593,Jellicent,,
POKEMON594,Alomomola,,
POKEMON595,Joltik,,
POKEMON596,Galvantula,,
POKEMON597,Ferroseed,,
POKEMON598,Ferrothorn,,
POKEMON599,Klink,,
POKEMON600,Klang,,
POKEMON601,Klinklang,,
POKEMON602,Tynamo,,
POKEMON603,Eelektrik,,
POKEMON604,Eelektross,,
POKEMON605,Elgyem,,
POKEMON606,Beheeyem,,
POKEMON607,Litwick,,
POKEMON608,Lampent,,
POKEMON609,Chandelure,,
POKEMON610,Axew,,
POKEMON611,Fraxure,,
POKEMON612,Haxorus,,
POKEMON613,Cubchoo,,
POKEMON614,Beartic,,
POKEMON615,Cryogonal,,
POKEMON616,Shelmet,,
POKEMON617,Accelgor,,
POKEMON618,Stunfisk,,
POKEMON619,Mienfoo,,
POKEMON620,Mienshao,,
POKEMON621,Druddigon,,
POKEMON622,Golett,,
POKEMON623,Golurk,,
POKEMON624,Pawniard,,
POKEMON625,Bisharp,,
POKEMON626,Bouffalant,,
POKEMON627,Rufflet,,
POKEMON628,Braviary,,
POKEMON629,Vullaby,,
POKEMON630,Mandibuzz,,
POKEMON631,Heatmor,,
POKEMON632,Durant,,
POKEMON633,Deino,,
POKEMON634,Zweilous,,
POKEMON635,Hydreigon,,
POKEMON636,Larvesta,,
POKEMON637,Volcarona,,
POKEMON638,Cobalion,,
POKEMON639,Terrakion,,
POKEMON640,Virizion,,
POKEMON641,Tornadus,,
POKEMON642,Thundurus,,
POKEMON643,Reshiram,,
POKEMON644,Zekrom,,
POKEMON645,Landorus,,
POKEMON646,Kyurem,,
POKEMON647,Keldeo,,
POKEMON648,Meloetta,,
POKEMON649,Genesect,,
MOVE1,Pound,Pound,はたく
MOVE2,Karate Chop,Karate Chop,からてチョップ
MOVE3,Double Slap,Round Trip Slap,おうふくビンタ
MOVE4,Comet Punch,Consecutive Punches,れんぞくパンチ
MOVE5,Mega Punch,Megaton Punch,メガトンパンチ
MOVE6,Pay Day,Pay Day,ネコにこばん
MOVE7,Fire Punch,Flame Punch,ほのおのパンチ
MOVE8,Ice Punch,Freezing Punch,れいとうパンチ
MOVE9,Thunder Punch,Thunder Punch,かみなりパンチ
MOVE10,Scratch,Scratch,ひっかく
MOVE11,Vice Grip,Squeeze,はさむ
MOVE12,Guillotine,Pincer Guillotine,ハサミギロチン
MOVE13,Razor Wind,Razor Wind,かまいたち
MOVE14,Swords Dance,Swords Dance,つるぎのまい
MOVE15,Cut,Iaido Cut,いあいぎり
MOVE16,Gust,Stir Up Wind,かぜおこし
MOVE17,Wing Attack,Wing Strike,つばさでうつ
MOVE18,Whirlwind,,
MOVE19,Fly,,
MOVE20,Bind,,
MOVE21,Slam,,
MOVE22,Vine Whip,,
MOVE23,Stomp,,
MOVE24,Double Kick,,
MOVE25,Mega Kick,,
MOVE26,Jump Kick,,
MOVE27,Rolling Kick,,
MOVE28,Sand Attack,,
MOVE29,Headbutt,,
MOVE30,Horn Attack,,
MOVE31,Fury Attack,,
MOVE32,Horn Drill,,
MOVE33,Tackle,,
MOVE34,Body Slam,,
MOVE35,Wrap,,
MOVE36,Take Down,,
MOVE37,Thrash,,
MOVE38,Double-Edge,,
MOVE39,Tail Whip,,
MOVE40,Poison Sting,,
MOVE41,Twineedle,,
MOVE42,Pin Missile,,
MOVE43,Leer,,
MOVE44,Bite,,
MOVE45,Growl,,
MOVE46,Roar,,
MOVE47,Sing,,
MOVE48,Supersonic,,
MOVE49,Sonic Boom,,
MOVE50,Disable,,
MOVE51,Acid,,
MOVE52,Ember,,
MOVE53,Flamethrower,,
MOVE54,Mist,,
MOVE55,Water Gun,,
MOVE56,Hydro Pump,,
MOVE57,Surf,,
MOVE58,Ice Beam,,
MOVE59,Blizzard,,
MOVE60,Psybeam,,
MOVE61,Bubble Beam,,
MOVE62,Aurora Beam,,
MOVE63,Hyper Beam,,
MOVE64,Peck,,
MOVE65,Drill Peck,,
MOVE66,Submission,,
MOVE67,Low Kick,,
MOVE68,Counter,,
MOVE69,Seismic Toss,,
MOVE70,Strength,,
MOVE71,Absorb,,
MOVE72,Mega Drain,,
MOVE73,Leech Seed,,
MOVE74,Growth,,
MOVE75,Razor Leaf,,
MOVE76,Solar Beam,,
MOVE77,Poison Powder,,
MOVE78,Stun Spore,,
MOVE79,Sleep Powder,,
MOVE80,Petal Dance,,
MOVE81,String Shot,,
MOVE82,Dragon Rage,,
MOVE83,Fire Spin,,
MOVE84,Thunder Shock,,
MOVE85,Thunderbolt,,
MOVE86,Thunder Wave,,
MOVE87,Thunder,,
MOVE88,Rock Throw,,
MOVE89,Earthquake,,
MOVE90,Fissure,,
MOVE91,Dig,,
MOVE92,Toxic,,
MOVE93,Confusion,,
MOVE94,Psychic,,
MOVE95,Hypnosis,,
MOVE96,Meditate,,
MOVE97,Agility,,
MOVE98,Quick Attack,,
MOVE99,Rage,,
MOVE100,Teleport,,
MOVE101,Night Shade,,
MOVE102,Mimic,,
MOVE103,Screech,,
MOVE104,Double Team,,
MOVE105,Recover,,
MOVE106,Harden,,
MOVE107,Minimize,,
MOVE108,Smokescreen,,
MOVE109,Confuse Ray,,
MOVE110,Withdraw,,
MOVE111,Defense Curl,,
MOVE112,Barrier,,
MOVE113,Light Screen,,
MOVE114,Haze,,
MOVE115,Reflect,,
MOVE116,Focus Energy,,
MOVE117,Bide,,
MOVE118,Metronome,,
MOVE119,Mirror Move,,
MOVE120,Self-Destruct,,
MOVE121,Egg Bomb,,
MOVE122,Lick,,
MOVE123,Smog,,
MOVE124,Sludge,,
MOVE125,Bone Club,,
MOVE126,Fire Blast,,
MOVE127,Waterfall,,
MOVE128,Clamp,,
MOVE129,Swift,,
MOVE130,Skull Bash,,
MOVE131,Spike Cannon,,
MOVE132,Constrict,,
MOVE133,Amnesia,,
MOVE134,Kinesis,,
MOVE135,Soft-Boiled,,
MOVE136,High Jump Kick,,
MOVE137,Glare,,
MOVE138,Dream Eater,,
MOVE139,Poison Gas,,
MOVE140,Barrage,,
MOVE141,Leech Life,,
MOVE142,Lovely Kiss,,
MOVE143,Sky Attack,,
MOVE144,Transform,,
MOVE145,Bubble,,
MOVE146,Dizzy Punch,,
MOVE147,Spore,,
MOVE148,Flash,,
MOVE149,Psywave,,
MOVE150,Splash,Hop,
MOVE151,Acid Armor,,
MOVE152,Crabhammer,,
MOVE153,Explosion,,
MOVE154,Fury Swipes,,
MOVE155,Bonemerang,,
MOVE156,Rest,,
MOVE157,Rock Slide,,
MOVE158,Hyper Fang,,
MOVE159,Sharpen,,
MOVE160,Conversion,,
MOVE161,Tri Attack,,
MOVE162,Super Fang,,
MOVE163,Slash,,
MOVE164,Substitute,,
MOVE165,Struggle,,
